Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,population,gene_set_db
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.6166183645156413,-1.232220054005398,0.05454545454545454,0.3155003155230852,0.992,34/107,15.40%,FOS;CEBPD;EIF1;NFKBIA;IER2;JUNB;BTG1;CXCL2;BTG2;JUN;EGR1;DUSP1;DRAM1;F3;EFNA1;SOD2;ZFP36;SDC4;SAT1;FOSB;TSC22D1;BMP2;TANK;TRIB1;CXCL3;NR4A1;CD83;SLC2A3;GADD45B;ID2;CEBPB;IL6ST;CCNL1;CD44,KRT8+ DATP,Hallmark
prerank,HALLMARK_FATTY_ACID_METABOLISM,-0.5905262406629842,-1.192229513199907,0.14634146341463414,0.41772394007013064,0.998,38/95,19.74%,CA2;FASN;EPHX1;IDI1;CD36;ACAT2;ERP29;HSD17B4;DHCR24;HMGCS1;ACSL1;PCBD1;ALDH9A1;ALDOA;HSD17B11;ACADL;ALDH1A1;MAOA;RDH11;ACSL4;ECHS1;ECH1;SUCLG1;HSD17B10;ACAA2;HADH;ACAA1;PRDX6;MDH1;LDHA;IDH3B;APEX1;ECI1;SDHD;MCEE;ELOVL5;HSD17B7;HSDL2,KRT8+ DATP,Hallmark
prerank,HALLMARK_ADIPOGENESIS,-0.5652086297402281,-1.1456428886665357,0.1845841784989858,0.5687759005419191,1.0,35/134,12.46%,LPL;ATP5PO;MGST3;CD302;CD36;CAT;UQCR10;SCP2;DDT;TST;QDPR;ALDOA;SULT1A1;MCCC1;ACADL;DHCR7;TOB1;DNAJB9;UQCR11;MYLK;POR;ECHS1;LIFR;ECH1;GPX4;COX6A1;PHYH;SUCLG1;UQCRQ;DHRS7;ACAA2;COX7B;HADH;TANK;SDHB,KRT8+ DATP,Hallmark
prerank,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.5663549721896917,-1.1329898609451998,0.2210953346855984,0.5852564806604822,1.0,19/91,9.93%,FABP5;CA2;FOS;CACNA2D2;DCXR;BLVRB;ABCA3;IGFBP4;COX6C;TST;CHPT1;SERPINA1;XBP1;DHCR7;CD9;ZFP36;TOB1;GALE;S100A9,KRT8+ DATP,Hallmark
prerank,HALLMARK_MTORC1_SIGNALING,-0.5571435065101367,-1.1318188537739586,0.19797979797979798,0.5570836559041851,1.0,38/136,17.85%,NUPR1;SCD;TMEM97;IDI1;EBP;INSIG1;LGMN;FADS1;BTG2;SQLE;DHCR24;HMGCS1;HMGCR;QDPR;PSMA3;XBP1;ALDOA;DHCR7;SERP1;TM7SF2;CD9;RDH11;CTSC;PSMA4;HK2;CANX;SLC2A3;M6PR;LDHA;CALR;CYP51A1;SC5D;LTA4H;RAB1A;SLC1A5;ADD3;USO1;TFRC,KRT8+ DATP,Hallmark
prerank,HALLMARK_MYOGENESIS,-0.5680701766775703,-1.1293459331541444,0.28775510204081634,0.5361762710889433,1.0,7/55,5.68%,SOD3;AK1;SCD;FDPS;CD36;GABARAPL2;ACSL1,KRT8+ DATP,Hallmark
prerank,HALLMARK_MYC_TARGETS_V1,-0.5507862155101935,-1.1184797619512254,0.20040485829959515,0.547729860193998,1.0,47/145,24.83%,RPL34;RPS6;RPS3;RPL6;RPL18;RPS2;RPL14;RACK1;RPL22;RPLP0;RPS10;RPS5;SNRPB2;PSMA2;PSMA4;SRSF7;SLC25A3;MRPL23;PSMD8;C1QBP;CANX;PSMA1;EEF1B2;PSMD3;SRSF3;LDHA;FBL;GLO1;EIF4H;APEX1;CDK4;UBE2E1;PSMA7;DUT;DDX18;PCNA;EIF4A1;EXOSC7;VDAC3;DEK;SRSF2;RANBP1;HDDC2;HNRNPA1;ACP1;PGK1;PTGES3,KRT8+ DATP,Hallmark
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.5540395820785855,-1.1075297601273426,0.29471544715447157,0.5560687775269496,1.0,11/73,8.66%,TXNIP;NFKBIA;BTG1;CD74;B2M;HLA-DRB1;PSMA3;SERPING1;HLA-DMA;SOD2;PSMA2,KRT8+ DATP,Hallmark
prerank,HALLMARK_IL2_STAT5_SIGNALING,-0.5480194567011061,-1.1072962743215737,0.29878048780487804,0.5318424005067295,1.0,26/85,18.74%,CA2;AGER;MUC1;HOPX;SLC39A8;RGS16;NFKBIZ;XBP1;CCND3;NDRG1;GPX4;HK2;SPRY4;BMP2;CD83;SLC2A3;RNH1;GADD45B;CD44;FURIN;GSTO1;RRAGD;SLC1A5;CISH;CD81;RABGAP1L,KRT8+ DATP,Hallmark
prerank,HALLMARK_HEME_METABOLISM,-0.5425193096960983,-1.0877784651898001,0.31160896130346233,0.5694129573493685,1.0,34/87,27.23%,CA2;SELENBP1;BLVRB;MGST3;CAT;BTG2;BNIP3L;TMEM9B;ALDH6A1;CCND3;ACP5;HAGH;LAMP2;C3;PRDX2;LRP10;TFRC;HEBP1;TENT5C;CIR1;DCAF11;PGLS;BLVRA;NUDT4;RAD23A;FBXO9;ADIPOR1;SLC25A38;VEZF1;ARL2BP;KLF3;NCOA4;GLRX5;SDCBP,KRT8+ DATP,Hallmark
