gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
CDIPT,ENSG00000103502,-4.1358,1.851582098808606e-07,6.2743362952525e-07,0.0189,0.3343,0.015,0.228
HNRNPH2,ENSG00000126945,-2.6936,1.9059343437050942e-07,6.455097058469802e-07,0.0565,0.366,0.035,0.247
NME1,ENSG00000239672,-6.924,1.9068582866238837e-07,6.455097058469802e-07,0.0027,0.3416,0.005,0.217
RFXANK,ENSG00000064490,-3.0493,1.915038607303564e-07,6.479504994012413e-07,0.0425,0.3527,0.025,0.239
DOCK10,ENSG00000135905,5.6689,1.9204592915614852e-07,6.494555751057802e-07,0.5036,0.0098,0.219,0.006
TERF2IP,ENSG00000166848,-1.2164,1.9551888869491553e-07,6.608657174055369e-07,0.2232,0.5189,0.104,0.336
PSMD6,ENSG00000163636,-2.3431,1.9940603793306053e-07,6.736635950201877e-07,0.0732,0.3716,0.03,0.248
PACS1,ENSG00000175115,3.5531,2.0047024863433677e-07,6.769164765564891e-07,0.5239,0.0445,0.239,0.03
HPN,ENSG00000105707,-1.8751,2.012963509102036e-07,6.790193574390151e-07,0.1234,0.4528,0.07,0.288
MRPS35,ENSG00000061794,-2.2666,2.0123143984919406e-07,6.790193574390151e-07,0.0795,0.3829,0.04,0.256
EIF4EBP2,ENSG00000148730,-2.0256,2.0160495490756076e-07,6.797170589740526e-07,0.0978,0.3983,0.05,0.266
SMURF1,ENSG00000198742,1.6868,2.0306480275099833e-07,6.839484707886626e-07,0.75,0.2329,0.328,0.141
CETN2,ENSG00000147400,-4.7143,2.0302388652795899e-07,6.839484707886626e-07,0.0123,0.3251,0.005,0.219
PTPN14,ENSG00000152104,3.0824,2.0331046750048354e-07,6.844307522357508e-07,0.5407,0.0637,0.249,0.042
TEAD1,ENSG00000187079,1.2899,2.0963909986362244e-07,7.053801249315538e-07,0.8703,0.3559,0.378,0.22
CLIC5,ENSG00000112782,2.7413,2.1378854395904534e-07,7.189797004544128e-07,0.5974,0.0893,0.259,0.056
MRPL42,ENSG00000198015,-1.988,2.1566293339991942e-07,7.245536882183409e-07,0.108,0.4288,0.075,0.286
TBRG1,ENSG00000154144,-2.2685,2.1564558563300265e-07,7.245536882183409e-07,0.0816,0.3938,0.045,0.26
CAVIN3,ENSG00000170955,-3.8817,2.1995402403143084e-07,7.385987564132361e-07,0.0229,0.3384,0.015,0.226
PMPCB,ENSG00000105819,-2.371,2.2014860792843768e-07,7.388806795748921e-07,0.0748,0.3874,0.045,0.26
ST6GALNAC4,ENSG00000136840,-3.1722,2.285831174779797e-07,7.668039385411483e-07,0.039,0.3525,0.025,0.238
CAMK2D,ENSG00000145349,1.0862,2.292263005585856e-07,7.685755328467838e-07,1.0257,0.483,0.423,0.299
SASH1,ENSG00000111961,2.1246,2.3142622881533851e-07,7.755623593866763e-07,0.6626,0.1519,0.294,0.101
PITHD1,ENSG00000057757,-2.7632,2.3377779563652643e-07,7.83050098824654e-07,0.0517,0.3517,0.03,0.243
CD36,ENSG00000135218,-0.9883,2.399504099061648e-07,8.033227006332204e-07,0.3294,0.6535,0.139,0.38
RIDA,ENSG00000132541,-11.5962,2.447073993133909e-07,8.188380360792272e-07,0.0,0.3095,0.0,0.212
SEZ6L2,ENSG00000174938,-4.4235,2.4641843522348143e-07,8.241505903142878e-07,0.0157,0.3383,0.01,0.221
STK39,ENSG00000198648,2.5455,2.486083153217902e-07,8.310585275446629e-07,0.6017,0.103,0.269,0.068
PSMC4,ENSG00000013275,-3.1978,2.540486950140883e-07,8.488200270130543e-07,0.0365,0.3361,0.015,0.229
RPA3,ENSG00000106399,-1.7836,2.617186377130796e-07,8.740093906428293e-07,0.1297,0.4469,0.075,0.291
PPA2,ENSG00000138777,-0.9375,2.6396588226358886e-07,8.810735270557272e-07,0.3145,0.6024,0.144,0.381
PSMF1,ENSG00000125818,-1.4126,2.6870944522769005e-07,8.964587336042667e-07,0.183,0.4873,0.095,0.318
YTHDF2,ENSG00000198492,-1.2455,2.6991352618953616e-07,9.000261814377993e-07,0.2176,0.5159,0.109,0.334
SRSF6,ENSG00000124193,-2.1294,2.7049592555448384e-07,9.015181071748491e-07,0.0929,0.407,0.055,0.268
CIMAP1B,ENSG00000177989,-3.4883,2.7125269434811405e-07,9.035893992773335e-07,0.0317,0.3567,0.02,0.231
MAT2B,ENSG00000038274,-5.8191,2.7375364505722646e-07,9.114658999687017e-07,0.0055,0.3189,0.005,0.215
FRYL,ENSG00000075539,2.038,2.7595748153197365e-07,9.183457992785511e-07,0.6778,0.165,0.299,0.108
DNAJA2,ENSG00000069345,-2.4914,2.7676211359291283e-07,9.205648190672634e-07,0.0637,0.3585,0.025,0.241
MBNL2,ENSG00000139793,1.3793,2.7926755800608733e-07,9.284360477464695e-07,0.8192,0.3148,0.368,0.198
EVI5,ENSG00000067208,1.362,2.82784960757177e-07,9.396620661180025e-07,0.7962,0.3097,0.363,0.198
ITCH,ENSG00000078747,1.8931,2.836088095012488e-07,9.419309988358234e-07,0.69,0.1857,0.308,0.12
C11orf54,ENSG00000182919,-1.5608,2.962717770010455e-07,9.830100340735135e-07,0.1573,0.4642,0.08,0.296
SLC25A38,ENSG00000144659,-3.7816,2.962246271271184e-07,9.830100340735135e-07,0.0237,0.327,0.01,0.222
ZC3H11A,ENSG00000058673,-11.5947,2.9905458761927784e-07,9.91750541563633e-07,0.0,0.3092,0.0,0.21
CMTM8,ENSG00000170293,-1.033,3.018146205506275e-07,1.0004068737755042e-06,0.3156,0.646,0.164,0.398
SERINC3,ENSG00000132824,-1.4746,3.034993211404011e-07,1.005233293087516e-06,0.1655,0.4602,0.085,0.305
PTOV1,ENSG00000104960,-2.417,3.035717251321335e-07,1.005233293087516e-06,0.0729,0.3898,0.045,0.257
BCL7B,ENSG00000106635,-2.3134,3.042845866383057e-07,1.007094526341548e-06,0.0746,0.3711,0.04,0.253
MLLT10,ENSG00000078403,1.4433,3.0765307536665485e-07,1.0177389253956847e-06,0.8587,0.3157,0.363,0.202
FAM50A,ENSG00000071859,-1.3767,3.190631820763642e-07,1.0549618777663547e-06,0.1892,0.4915,0.1,0.318
EMC2,ENSG00000104412,-2.2617,3.224103438681212e-07,1.0655015767912823e-06,0.0822,0.3945,0.05,0.261
DDIT3,ENSG00000175197,-3.968,3.2264066247379826e-07,1.0657354028993564e-06,0.022,0.3459,0.015,0.224
SRA1,ENSG00000213523,-1.6138,3.2750122155680343e-07,1.0812558866919872e-06,0.1446,0.4428,0.07,0.291
ANKIB1,ENSG00000001629,2.1119,3.309075534729314e-07,1.0919622280858244e-06,0.6564,0.1518,0.294,0.103
F11R,ENSG00000158769,-0.9966,3.331182007359926e-07,1.0987143025756516e-06,0.3052,0.6092,0.154,0.384
COPB2,ENSG00000184432,-1.507,3.341891358547059e-07,1.101702486857641e-06,0.1572,0.4471,0.08,0.295
ERBB3,ENSG00000065361,-1.7033,3.4167104938441347e-07,1.125812007320423e-06,0.1421,0.4628,0.085,0.299
HMOX2,ENSG00000103415,-2.6479,3.493559935439663e-07,1.1505664106904097e-06,0.0567,0.3558,0.03,0.241
WDPCP,ENSG00000143951,3.1265,3.510739334001341e-07,1.15565441162124e-06,0.5071,0.058,0.239,0.032
ASPSCR1,ENSG00000169696,-2.1119,3.5489899061618187e-07,1.1676701272539303e-06,0.0913,0.3951,0.045,0.26
WAC,ENSG00000095787,1.0368,3.5734889107871414e-07,1.1751517693327089e-06,1.0508,0.5121,0.433,0.323
TIPARP,ENSG00000163659,-1.3548,3.588493515170205e-07,1.1795053242038287e-06,0.2157,0.5519,0.114,0.335
TUBA1A,ENSG00000167552,-2.3655,3.618971352460766e-07,1.1889380060543757e-06,0.0768,0.3964,0.045,0.254
ARRDC1,ENSG00000197070,-1.8787,3.7410368802008006e-07,1.2284358565811773e-06,0.1117,0.4112,0.055,0.269
CKS1B,ENSG00000173207,-4.6257,3.856869893083435e-07,1.2658493373908728e-06,0.0129,0.3197,0.01,0.218
PCYOX1,ENSG00000116005,-2.2065,3.9677124640617415e-07,1.3015889758088592e-06,0.0871,0.4026,0.055,0.264
NUBP2,ENSG00000095906,-2.667,3.9720906012025753e-07,1.3023855240761904e-06,0.0552,0.3508,0.03,0.239
SNX9,ENSG00000130340,5.5465,3.976786635336655e-07,1.303285472885845e-06,0.4775,0.0101,0.214,0.007
CSRP1,ENSG00000159176,-1.6009,4.004760158101094e-07,1.3118093720430214e-06,0.1393,0.4229,0.065,0.282
TBC1D22A,ENSG00000054611,1.6766,4.020400533453624e-07,1.3162870177910174e-06,0.7552,0.2362,0.328,0.149
VKORC1,ENSG00000167397,-3.0181,4.0501044246063506e-07,1.3253624425255176e-06,0.0417,0.3385,0.02,0.229
LSM10,ENSG00000181817,-6.5773,4.0695974547485145e-07,1.3310891968788113e-06,0.0031,0.3069,0.005,0.212
RPL7L1,ENSG00000146223,-2.0649,4.438087950557967e-07,1.4509050133028224e-06,0.09,0.3767,0.045,0.257
SLC39A11,ENSG00000133195,2.5843,4.442094407233219e-07,1.4515043319917156e-06,0.5669,0.0944,0.259,0.061
MICAL2,ENSG00000133816,1.2812,4.4471509997310203e-07,1.452446040450048e-06,0.8468,0.3484,0.373,0.209
PSMD13,ENSG00000185627,-2.3905,4.5863362949658424e-07,1.497172048586357e-06,0.0697,0.3658,0.04,0.25
PPP2CB,ENSG00000104695,-1.1543,4.641651433487053e-07,1.514489004604789e-06,0.2516,0.56,0.134,0.353
PDCD2,ENSG00000071994,-3.1174,4.6948516447591053e-07,1.5310993230149444e-06,0.038,0.3304,0.02,0.227
