gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
ARID5B,ENSG00000150347,-0.1946,0.03167868871063443,0.06059664662694421,0.3837,0.4392,0.224,0.27
HMBS,ENSG00000256269,-0.3084,0.031742087077386454,0.060664516463641835,0.1575,0.1951,0.097,0.138
ECHDC2,ENSG00000121310,0.1701,0.03173104325085175,0.060664516463641835,0.6005,0.5337,0.343,0.336
FLNB,ENSG00000136068,0.3533,0.03200102915590312,0.061132515477606564,0.3534,0.2766,0.209,0.182
TSC2,ENSG00000103197,0.6232,0.03208323802517722,0.06123572791278884,0.2175,0.1412,0.13,0.097
TMEM184B,ENSG00000198792,0.5595,0.032070432834060275,0.06123572791278884,0.2437,0.1653,0.146,0.115
ARAP2,ENSG00000047365,0.3964,0.032121679894598694,0.0612743145401882,0.2801,0.2128,0.166,0.133
PSMD8,ENSG00000099341,-0.1453,0.03213165274668406,0.0612743145401882,0.8428,0.9322,0.469,0.543
CAVIN2,ENSG00000168497,0.3682,0.03218964277135571,0.06133107737146511,0.3363,0.2605,0.196,0.166
HDDC3,ENSG00000184508,-0.2865,0.0321891670789692,0.06133107737146511,0.1667,0.2033,0.101,0.143
LYST,ENSG00000143669,-0.246,0.03234360696909356,0.06159742151081534,0.2178,0.2583,0.128,0.171
ARL6IP6,ENSG00000177917,-0.4527,0.032595685377608145,0.0620503060232523,0.1056,0.1445,0.063,0.102
HOOK2,ENSG00000095066,-0.1473,0.03276000250690594,0.0622650447500152,0.4917,0.5446,0.284,0.345
IFT27,ENSG00000100360,0.5412,0.03276579782404159,0.0622650447500152,0.2442,0.1678,0.148,0.117
CMTR2,ENSG00000180917,-0.4422,0.032742139137452116,0.0622650447500152,0.1032,0.1403,0.062,0.101
ST13,ENSG00000100380,-0.1035,0.03274310451170079,0.0622650447500152,1.1499,1.2355,0.618,0.672
BAIAP2,ENSG00000175866,0.1606,0.033233254010772775,0.06312575259214095,0.5978,0.5348,0.344,0.337
CEP350,ENSG00000135837,-0.2126,0.03342315453445511,0.06345872853068671,0.2801,0.3246,0.168,0.212
ABCE1,ENSG00000164163,-0.222,0.03357845522914101,0.06372574953093747,0.2292,0.2673,0.141,0.184
MBOAT7,ENSG00000125505,0.4247,0.033732639674591745,0.06399041991522292,0.3131,0.2332,0.188,0.162
SLC38A10,ENSG00000157637,0.3351,0.033848178366326996,0.06418158079409124,0.3543,0.2808,0.214,0.188
SLC27A5,ENSG00000083807,-0.3587,0.03391378378650637,0.0642779347301163,0.1284,0.1647,0.076,0.116
NT5DC2,ENSG00000168268,0.6627,0.03396505137956352,0.06434704154123064,0.2095,0.1323,0.126,0.094
TRIM33,ENSG00000197323,-0.2044,0.033997438802949566,0.06438033509264436,0.2344,0.2701,0.136,0.181
TMX1,ENSG00000139921,-0.1983,0.034103754969899654,0.06455353619302434,0.2527,0.29,0.153,0.198
THRB,ENSG00000151090,-0.571,0.03423466777243079,0.06477312413538712,0.1182,0.1756,0.069,0.106
CRYL1,ENSG00000165475,0.4457,0.034319250002711035,0.06490490013567544,0.2866,0.2104,0.174,0.145
MYO10,ENSG00000145555,-0.325,0.03437657599691624,0.06498503666054718,0.1786,0.2237,0.108,0.148
TENT5A,ENSG00000112773,-0.2023,0.034406276829597196,0.06501290395714322,0.2919,0.3359,0.165,0.211
SYMPK,ENSG00000125755,0.4094,0.034554099193017926,0.06526384836716902,0.3265,0.2458,0.191,0.165
GNL1,ENSG00000204590,0.4036,0.03468014909099951,0.06547347000411984,0.3195,0.2415,0.193,0.167
MAP3K13,ENSG00000073803,-0.147,0.03470855169491914,0.06549863902132808,0.682,0.7552,0.385,0.454
PPP4C,ENSG00000149923,0.1329,0.03477151388209967,0.0655605203173992,0.6522,0.5948,0.378,0.38
CALM2,ENSG00000143933,0.1254,0.03477151388209967,0.0655605203173992,1.8237,1.6719,0.896,0.805
RAD54L2,ENSG00000164080,-0.3762,0.0348513720446561,0.06568194391338628,0.1238,0.1607,0.07,0.109
CDIPT,ENSG00000103502,0.2948,0.034866140038698146,0.06568194391338628,0.4101,0.3343,0.246,0.228
NREP,ENSG00000134986,0.7176,0.03490741688293337,0.06573121047366916,0.1819,0.1106,0.108,0.074
DIS3,ENSG00000083520,-0.2345,0.035229885581211644,0.06628098819737914,0.1964,0.2311,0.117,0.159
BNIP2,ENSG00000140299,0.3894,0.0352296286489564,0.06628098819737914,0.3442,0.2628,0.204,0.18
BECN1,ENSG00000126581,0.3115,0.03527333011240463,0.06633400807810928,0.3922,0.316,0.235,0.215
SLC48A1,ENSG00000211584,-0.304,0.035308582008561476,0.066371581924398,0.1545,0.1908,0.095,0.135
FGG,ENSG00000171557,0.3543,0.035328150767484585,0.06637965552766452,0.3638,0.2845,0.177,0.141
POLR2G,ENSG00000168002,-0.1591,0.035410905158072256,0.06645525657972087,0.3757,0.4195,0.227,0.279
FBXO25,ENSG00000147364,-0.257,0.03539052348306376,0.06645525657972087,0.1801,0.2153,0.109,0.151
CCPG1,ENSG00000260916,0.1672,0.03541426006411265,0.06645525657972087,0.5927,0.5278,0.341,0.339
RTF1,ENSG00000137815,-0.1438,0.03558027857040131,0.06673797611867245,0.4683,0.5174,0.274,0.334
WDR74,ENSG00000133316,-0.2296,0.03574071750600389,0.06698109455847041,0.1968,0.2307,0.119,0.162
ARGLU1,ENSG00000134884,-0.1469,0.03572537392405083,0.06698109455847041,0.7516,0.8322,0.421,0.488
TMEM37,ENSG00000171227,0.5079,0.03579485497789254,0.06705363781634524,0.2653,0.1865,0.157,0.128
BRMS1,ENSG00000174744,-0.1681,0.03611458944706719,0.06759431771617314,0.2508,0.2818,0.15,0.196
HGS,ENSG00000185359,0.389,0.03609963376437435,0.06759431771617314,0.3451,0.2635,0.204,0.181
PFKFB3,ENSG00000170525,0.457,0.036243900309408,0.06780714194777752,0.2887,0.2103,0.168,0.139
MBD3,ENSG00000071655,0.4533,0.03634219759009817,0.06796178602692197,0.3108,0.227,0.181,0.155
CNKSR1,ENSG00000142675,0.5423,0.0367435204796812,0.06868272688373957,0.2584,0.1774,0.15,0.122
SIRT2,ENSG00000068903,-0.2498,0.036813351797593014,0.06878367451089391,0.1778,0.2114,0.108,0.149
SRSF8,ENSG00000263465,-0.16,0.036907883560323825,0.06888594148195608,0.299,0.3341,0.178,0.227
FASTK,ENSG00000164896,0.4557,0.036910022257874486,0.06888594148195608,0.3112,0.2269,0.184,0.16
LACTB2,ENSG00000147592,0.1813,0.036915636841112674,0.06888594148195608,0.5638,0.4972,0.329,0.323
CLIP1,ENSG00000130779,-0.1681,0.03702191612814268,0.06905461265790046,0.3863,0.434,0.228,0.279
KATNBL1,ENSG00000134152,-0.184,0.03704872777222353,0.0690749767902546,0.242,0.2749,0.144,0.189
PAPSS2,ENSG00000198682,0.3194,0.03723741133151196,0.06939699384509047,0.3914,0.3136,0.226,0.206
