gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
RPS16,ENSG00000105193,-2.9864,0.0,0.0,0.2901,2.2993,0.137,0.911
RPS12,ENSG00000112306,-2.8796,0.0,0.0,0.3509,2.5831,0.159,0.929
RPL7A,ENSG00000148303,-2.5959,0.0,0.0,0.3867,2.3384,0.173,0.92
RPS21,ENSG00000171858,-3.0962,0.0,0.0,0.2591,2.2166,0.126,0.914
RPL35A,ENSG00000182899,-3.3619,0.0,0.0,0.2258,2.3222,0.112,0.915
BTF3,ENSG00000145741,-4.9632,0.0,0.0,0.0586,1.8305,0.033,0.845
COX7C,ENSG00000127184,-4.009,0.0,0.0,0.1291,2.0795,0.067,0.892
MYL6,ENSG00000092841,-4.0431,0.0,0.0,0.1209,1.9942,0.067,0.879
RPL8,ENSG00000161016,-2.5875,0.0,0.0,0.3994,2.4013,0.175,0.924
RPS27,ENSG00000177954,-2.3965,0.0,0.0,0.4746,2.4993,0.205,0.925
COX6A1,ENSG00000111775,-4.4706,0.0,0.0,0.081,1.7978,0.046,0.847
CST3,ENSG00000101439,-4.2876,0.0,0.0,0.0972,1.9001,0.051,0.864
RPL36AL,ENSG00000165502,-4.6652,0.0,0.0,0.0727,1.8463,0.04,0.85
RPL37,ENSG00000145592,-2.745,0.0,0.0,0.3536,2.371,0.166,0.921
RPL19,ENSG00000108298,-3.3375,0.0,0.0,0.2402,2.4288,0.113,0.924
RPL9,ENSG00000163682,-2.9616,0.0,0.0,0.2969,2.3136,0.14,0.911
PRDX5,ENSG00000126432,-5.0878,0.0,0.0,0.0562,1.9148,0.033,0.861
NACA,ENSG00000196531,-3.2631,0.0,0.0,0.2222,2.1338,0.107,0.896
RPS15A,ENSG00000134419,-3.6967,0.0,0.0,0.1852,2.4029,0.091,0.918
RPS2,ENSG00000140988,-2.5126,0.0,0.0,0.4163,2.376,0.185,0.917
SERF2,ENSG00000140264,-3.6467,0.0,0.0,0.1727,2.1636,0.087,0.904
RPL36,ENSG00000130255,-2.7203,0.0,0.0,0.3475,2.2904,0.158,0.913
EIF1,ENSG00000173812,-3.2357,0.0,0.0,0.2395,2.2571,0.119,0.917
RPLP1,ENSG00000137818,-2.7853,0.0,0.0,0.3788,2.6121,0.166,0.931
RPS6,ENSG00000137154,-2.6956,0.0,0.0,0.3691,2.3916,0.168,0.919
TOMM7,ENSG00000196683,-4.257,0.0,0.0,0.0942,1.803,0.053,0.838
SLC25A5,ENSG00000005022,-4.5149,0.0,0.0,0.083,1.8999,0.046,0.854
RPS7,ENSG00000171863,-3.1321,0.0,0.0,0.2603,2.2832,0.132,0.916
COX6C,ENSG00000164919,-4.1347,2.068606670848744e-309,1.3595224254289424e-307,0.1014,1.7821,0.049,0.841
OST4,ENSG00000228474,-4.69,6.80174741176817e-309,4.424606096941031e-307,0.0663,1.7127,0.036,0.82
PFN1,ENSG00000108518,-4.4433,8.842233786428196e-309,5.693862665503005e-307,0.0801,1.7447,0.042,0.828
CD63,ENSG00000135404,-2.7668,9.398835159640195e-309,5.991757414270624e-307,0.3096,2.1079,0.148,0.894
UQCR10,ENSG00000184076,-3.9175,5.713753965298363e-308,3.6064536167106e-306,0.1195,1.8075,0.062,0.84
RNASE1,ENSG00000129538,-3.1664,6.928180582514849e-308,4.3301128640717806e-306,0.2306,2.0711,0.109,0.871
RPL28,ENSG00000108107,-2.2797,1.430879042423803e-307,8.856168830535674e-306,0.5063,2.4592,0.218,0.925
GNG5,ENSG00000174021,-3.818,1.842974707819592e-307,1.1297080540721057e-305,0.1267,1.7876,0.063,0.848
