gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
ZNF444,ENSG00000167685,-0.6612,0.007203076573963613,0.026818411186250033,0.1943,0.3074,0.1,0.205
SCAMP4,ENSG00000227500,-0.7588,0.007211142260618709,0.02682899995297533,0.1785,0.3021,0.104,0.205
CYP1B1,ENSG00000138061,-1.1936,0.0072393674088634995,0.02691452224800337,0.1016,0.2325,0.054,0.151
GON7,ENSG00000170270,-1.2877,0.007252829676357455,0.026945075109996098,0.0834,0.2038,0.046,0.144
SPIRE1,ENSG00000134278,-0.4807,0.007261220590773785,0.02695675678858071,0.3041,0.4243,0.146,0.258
ACP1,ENSG00000143727,-0.3745,0.007284237026573508,0.027022678586667643,0.6431,0.8337,0.332,0.502
AZGP1,ENSG00000160862,-1.0814,0.00730206098215903,0.027049739961307207,0.1498,0.317,0.071,0.168
RBMX,ENSG00000147274,-0.33,0.007298880203834522,0.027049739961307207,0.597,0.7504,0.304,0.452
COQ8A,ENSG00000163050,-1.3377,0.007317567771043613,0.02708765360779689,0.0837,0.2117,0.05,0.145
SELENOK,ENSG00000113811,-0.3652,0.007333520657752408,0.02712716280743835,0.6997,0.9013,0.368,0.528
NSDHL,ENSG00000147383,-1.5376,0.007364823101287447,0.027212021174219867,0.0658,0.1913,0.039,0.134
B4GALT3,ENSG00000158850,-1.0838,0.007367053611004249,0.027212021174219867,0.1128,0.2392,0.071,0.168
COPRS,ENSG00000172301,-0.6926,0.007374167405710532,0.02721872997883672,0.1831,0.296,0.104,0.206
IRX2,ENSG00000170561,-0.3987,0.007396805058547003,0.027257491667628378,0.4173,0.5502,0.218,0.346
B4GAT1,ENSG00000174684,-2.1308,0.007400584055340908,0.027257491667628378,0.0373,0.1635,0.021,0.116
LRRFIP2,ENSG00000093167,0.5754,0.0073910698918147515,0.027257491667628378,0.6464,0.4338,0.321,0.28
TTC14,ENSG00000163728,-0.8354,0.007409408450177636,0.02727044456806067,0.1494,0.2667,0.075,0.175
PGK1,ENSG00000102144,-0.3695,0.00743734435657116,0.027353668793172956,0.7371,0.9523,0.379,0.551
SLC25A38,ENSG00000144659,-0.6216,0.0074711615466049605,0.02745838914624913,0.2125,0.327,0.114,0.222
COX20,ENSG00000203667,-0.3868,0.007545190500899558,0.02771064245434019,0.4772,0.624,0.257,0.39
AARD,ENSG00000205002,-1.3115,0.007556165966866955,0.02773112909840172,0.0904,0.2245,0.054,0.149
C1QB,ENSG00000173369,-1.9849,0.007591326423401467,0.02784028205812758,0.0501,0.1987,0.025,0.119
PTGES3,ENSG00000110958,-0.3667,0.007606235066961008,0.02787506117977579,0.7915,1.0206,0.404,0.585
VEZF1,ENSG00000136451,-0.5911,0.00761499176726648,0.027887261368649448,0.2371,0.3573,0.136,0.242
ARV1,ENSG00000173409,-0.8632,0.0076308053826460815,0.027925269270680602,0.1477,0.2688,0.086,0.184
TBC1D4,ENSG00000136111,-0.6462,0.00763656308255954,0.02792644919444193,0.2008,0.3144,0.096,0.199
LAMTOR2,ENSG00000116586,-0.3755,0.007695514437208489,0.02810202784532851,0.4979,0.646,0.264,0.405
GCAT,ENSG00000100116,-1.548,0.007690876104866093,0.02810202784532851,0.0634,0.1854,0.036,0.131
NT5DC1,ENSG00000178425,-0.434,0.007717580770444452,0.028162592328511076,0.3138,0.424,0.164,0.277
CCDC57,ENSG00000176155,-0.3665,0.007728198559329447,0.02818132306446749,0.4849,0.6252,0.254,0.387
WASHC3,ENSG00000120860,-0.4719,0.00776480625664048,0.02829473372100623,0.3366,0.4669,0.189,0.303
CETN2,ENSG00000147400,-0.6875,0.007782509236479009,0.028339144193500462,0.2018,0.3251,0.118,0.219
FAM184A,ENSG00000111879,-0.3602,0.0078505831443719,0.0285465648943969,0.405,0.5198,0.193,0.316
PYURF,ENSG00000145337,-0.3551,0.007849402407058094,0.0285465648943969,0.6017,0.7697,0.318,0.469
LIPA,ENSG00000107798,-1.4199,0.00790299032512057,0.028716806428903455,0.0698,0.187,0.036,0.131
YEATS4,ENSG00000127337,-1.2863,0.007974551366067013,0.028956356833111173,0.0845,0.2063,0.054,0.148
IDS,ENSG00000010404,0.6655,0.008032970719356651,0.02914788386727011,0.5272,0.3323,0.282,0.223
MAGEF1,ENSG00000177383,-0.5282,0.008157220996175893,0.029577841551412663,0.2709,0.3908,0.157,0.264
FAAP20,ENSG00000162585,-0.3606,0.008223911752756623,0.029798630878465113,0.5512,0.7077,0.296,0.436
FAM210B,ENSG00000124098,-0.5106,0.008253656933670596,0.029885334267230106,0.2595,0.3698,0.139,0.25
SECISBP2,ENSG00000187742,-0.3813,0.008324007364614378,0.030103267033876408,0.3929,0.5118,0.207,0.328
WBP11,ENSG00000084463,-0.5881,0.008325562953510777,0.030103267033876408,0.2031,0.3053,0.107,0.21
RSBN1,ENSG00000081019,-0.6702,0.008372664431978604,0.03025228540893535,0.1949,0.3102,0.107,0.209
GSTK1,ENSG00000197448,-0.3537,0.008425977705273488,0.030423523155091486,0.5586,0.7138,0.293,0.438
GALNT11,ENSG00000178234,-0.7408,0.008467267195839123,0.03055113683442515,0.1663,0.2779,0.086,0.185
RBM17,ENSG00000134453,-0.4273,0.008513656320501203,0.030675432100094803,0.3533,0.4751,0.196,0.311
NR4A2,ENSG00000153234,-1.105,0.008512228022438733,0.030675432100094803,0.1119,0.2409,0.057,0.153
TSPAN14,ENSG00000108219,-0.717,0.008557402200185608,0.03081144534306493,0.1857,0.3053,0.107,0.206
N4BP2L2,ENSG00000244754,-0.3142,0.008684838427582274,0.031248389244340143,0.776,0.9649,0.379,0.551
MKKS,ENSG00000125863,-0.4845,0.008692596470267183,0.031254416140120915,0.2906,0.4066,0.161,0.271
ERGIC3,ENSG00000125991,-0.3509,0.008717204482217782,0.03127723228326464,0.7558,0.9639,0.4,0.561
CTDNEP1,ENSG00000175826,-0.4705,0.008711046649818735,0.03127723228326464,0.298,0.4129,0.164,0.276
DDIT3,ENSG00000175197,-0.6445,0.008712666755022176,0.03127723228326464,0.2212,0.3459,0.121,0.224
PPP1R14B,ENSG00000173457,0.7329,0.008742849834834412,0.031347356909545855,0.4896,0.2946,0.261,0.196
HIGD1A,ENSG00000181061,-0.385,0.008813313282550242,0.031577966280155606,0.3988,0.5208,0.218,0.34
CHIA,ENSG00000134216,-1.989,0.008833960475651891,0.03162988775184628,0.0453,0.18,0.021,0.114
BCAS2,ENSG00000116752,-0.624,0.008843807652198858,0.0316430945104441,0.2023,0.3119,0.114,0.217
TPGS1,ENSG00000141933,-0.7603,0.008909045312992515,0.03183217998480914,0.1735,0.294,0.1,0.198
NFATC3,ENSG00000072736,-0.3701,0.008904914097462323,0.03183217998480914,0.3593,0.4644,0.175,0.296
USP44,ENSG00000136014,-0.7599,0.008950783660143333,0.03195908717568898,0.1593,0.2698,0.082,0.181
SERINC1,ENSG00000111897,-0.3559,0.009032274472188,0.03221424248693236,0.4506,0.5766,0.232,0.368
CYB5R3,ENSG00000100243,-0.3508,0.009034784628974219,0.03221424248693236,0.6864,0.8753,0.357,0.519
DAB2,ENSG00000153071,-0.6609,0.0090548883175025,0.0322635341021691,0.2126,0.3362,0.118,0.218
