umap1,umap2,nhood_annotation,nhood_size,logFC_IPF,FDR_IPF,logFC_COVID,FDR_COVID,logFC_COVIDvsIPF,FDR_COVIDvsIPF
1.0423942,-5.7334504,Proximal Epithelium,32,3.293578894562023,8.381468420329684e-05,-28.292189110443648,0.9992162062284382,-30.94198381123042,0.9993360784192652
-0.67536616,-4.756343,Proximal Epithelium,56,1.462475904450184,0.005867105436625727,-31.043327388829056,0.9992162062284382,-31.203136135389574,0.9993360784192652
7.6561866,-5.550049,Lymphoid,64,-0.167409642568875,0.8980881189314719,-2.350245514391173,0.7358516384818253,-2.1828357856201213,0.6368066700059931
7.305684,16.093945,Endothelial (Macro),38,3.982217906498516,1.2201821140323983e-06,0.9159038699641828,0.9992162062284382,-3.0663142373130436,0.2849654934440812
9.779955,-6.809023,Lymphoid,52,-0.9358487773484406,0.2393599541958325,2.0868722536142243,0.00754576963334308,3.02272123162557,0.0017532565889329204
15.572022,5.6450872,Myeloid,39,-32.23579212601923,0.999127929492261,-30.579985732929895,0.9992162062284382,,
10.786616,12.00136,Fibroblasts,32,-3.499070568927853,0.039555299436493545,1.5483988073250239,0.2640297760309701,5.047469489874562,0.01881960177757573
16.735973,3.6315827,Myeloid,36,1.0159627660157537,0.11050830887626131,-0.8482108853793735,0.9992162062284382,-1.8641735385998328,0.8137319826678683
-0.22832276,-4.2300944,Proximal Epithelium,30,1.5798885036187846,0.02213509392050766,-29.779180383524277,0.9992162062284382,-30.917053209754098,0.9993360784192652
13.342665,2.7504652,Myeloid,41,-1.468301261366787,0.039555299436493545,-31.468784997844722,0.9992162062284382,-29.741679059057418,0.9993360784192652
14.006715,2.487521,Myeloid,36,-4.3410489872617255,0.009156691442571079,-31.43909086347556,0.9992162062284382,,
14.364368,15.089771,Lymphatic EC,50,0.1819936252188902,0.9064532639276364,-0.6654178302417297,0.9992162062284382,-0.8474114746990903,0.9993360784192652
16.724821,3.2298956,Macrophages,38,-32.96394469531275,0.999127929492261,2.221257304820358,0.0027287029895503275,34.70737445552351,0.9993360784192652
15.958623,4.476696,Myeloid,52,-3.159928656467977,0.0018707162177560397,-31.309679594156886,0.9992162062284382,,
0.46608862,10.047325,Distal Epithelium,50,-0.7145522634247198,0.28551485314215636,-31.209842048162745,0.9992162062284382,-31.062039821243022,0.9993360784192652
0.21007307,-5.0505676,Proximal Epithelium,42,3.0144387380157878,3.6961964254568086e-05,-28.31567843572878,0.9992162062284382,-32.240062993790986,0.9993360784192652
