fate,ipf_median,covid_median,pval
Basaloid,0.850057132813023,0.8433144995320146,1.753970643281476e-30
ECM,0.0972723935745585,0.10165246529768973,1.756419664900477e-30
AT1,0.052670473612418695,0.05498017557349522,2.8634380452194197e-29
