Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,population,gene_set_db
prerank,REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS,-0.8024645250624697,-1.3904752311777064,0.0,0.04194549426164142,0.886,4/22,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION,0.454538236687465,1.3902999758208872,0.14705882352941177,0.14286703217588748,0.618,7/16,12.22%,RUNX1;KMT2C;TNRC6A;TNRC6B;AGO3;AGO4;THBS1,ECM-high Epithelial,Reactome
prerank,REACTOME_SIGNALING_BY_FGFR4,-0.7960062350038248,-1.3893443099134597,0.008247422680412371,0.04241430024386579,0.898,4/22,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,-0.7998503672674777,-1.386245199785451,0.0,0.045197143716161306,0.92,9/27,8.13%,RPS27A;UBA52;RNASE1;UBB;PARK7;UBC;HSPA8;VPS28;CHMP2A,ECM-high Epithelial,Reactome
prerank,REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,-0.8130708858859644,-1.385191803215592,0.008281573498964804,0.0455843876538374,0.922,8/20,9.36%,RPS27A;UBA52;ELOB;UBB;UBC;RNF7;CSF3R;ELOC,ECM-high Epithelial,Reactome
prerank,REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,-0.7838784102498423,-1.3848979299243036,0.002008032128514056,0.04517353767206408,0.926,8/35,4.58%,RPS14;RPS6;RPS2;RPS7;RPS9;TRMT112;NOP10;SNU13,ECM-high Epithelial,Reactome
prerank,REACTOME_RHO_GTPASES_ACTIVATE_CIT,-0.8211101848758752,-1.384834308978925,0.01072961373390558,0.04462773664684231,0.926,5/15,8.98%,MYL12B;MYL6;RHOA;RAC1;RHOB,ECM-high Epithelial,Reactome
prerank,REACTOME_INTERLEUKIN_17_SIGNALING,-0.7807205947261118,-1.3845771253923014,0.002008032128514056,0.044287938752416406,0.928,7/44,5.32%,RPS27A;UBA52;SKP1;UBB;FOS;JUN;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_INTEGRIN_SIGNALING,0.4637783069378216,1.384244123488009,0.12903225806451613,0.14480291576673865,0.634,3/15,6.42%,FN1;SOS1;PTK2,ECM-high Epithelial,Reactome
prerank,REACTOME_SIGNALING_BY_CSF3_G_CSF,-0.7966888993374468,-1.3817616033477749,0.01020408163265306,0.046797361128521626,0.932,8/25,9.36%,RPS27A;UBA52;ELOB;UBB;UBC;RNF7;CSF3R;ELOC,ECM-high Epithelial,Reactome
